seq,title,writer,content
3046,저는 infp느낌이나나요 entp느낌이나나요,Jangjangman,저에관한거고!! 일기로 감별해주세요 2020.06.05 목요일 나는 오늘 고모네 아르바이트를 도와드렸다10시부터 9시까지  원래는 8시까지로알고있었는데 9시까지라고했다 언능 집에 들어가서 침대에누워서힐링좀해야하는데 ..사회생활이나 밖에선 나만의 가면을쓰고사람들을 대하기때문에에너지 방전이 빨라서 가끔 어지러울때도있다 하루중 나만을 위해 쉬는시간이 없으면매우예민해진다가게에서 블루투스 스피커로 내가좋아하는음악을 들으며 흔들리는 나무를 보니살아있음을 느끼고 여유로워졌다나는 현실만 보면 재미없고 예민해진다그래서 주변사람에게 심통부릴때도있다 그리고 좋아하면 과격해진다가면을 벗고 좀더 쎈 숨어잇는 나를 보여준다도망가면어쩌지 두근두근하지만곁에 남아있는 사람들에게 감사함을느낀다 갑자기졸립다 .. 일기끝 아 산다는 건 정말 돈에서 돈으로 끝나는거같다
3047,제 혼잣말 보고 유형궁예해주세요.,INFTJ 5w4,"1. 현재는 미래를 위한 시간이다. 2. 편견 만큼 나를 화나게 하는 건 없다. 3. 나를 알아? 보이는 게 다가 아니야. 4. 삶은 고통이다. 5. 모른다는 사실을 들키는 게 싫다. 우선 아는척. 6. 친구가 문제 상황 갖고 찾아 올 때 자, 생각을 해보자.  7. 그럴수도 있지,뭐. 8. 말로 사람 꼬시는 건 쉽다. 미리 호언장담하지말고 행동으로 보여줘야지. 9. 나만의 시간을 가질 때 나 혼자 논제하나 두고 분석하고 갑을논박함. 그리고 결론 내리고 만족함. 10. 맞아. 그래. 나도 알아.  혹시저랑 비슷한 말 자주하시는 분 계신가요?"
3048,이것의 MBTI 성향 이미지는?,닥쳐 후 IN 8w9,인간같은 로보트가 로보트?같은 인간과 아래 도자기의 이미지를 가지고 논쟁? 하다가 여러분들의 의견이 궁금해져서 급하게 올리다 보니 설문 자체가 엉터리지만 . .참여 부탁드립니다.각자의 주관적 정서가 다른 사람과 얼마나 다른가를 돌아보는 시간이 되면 좋겠어요. 투표이 도자기를 MBTI 성향 중 하나를 선택해야 한다면?
3049,유형 감별 부탁드려요!,Lindy ESFJ 3w2,"저랑 정말 친하고 제가 존경하는 선생님 중 한 분인데, 갑자기 유형이 궁금해져서 XXTX 중 한 종류일 것 같은데,,, 감별 한번 부탁드릴게요!1. 일을 할 때 매우 분석적이고 꼼꼼하다. 완벽주의 성향이 있으신 듯2. 자기가 아끼는 사람일수록 쓴소리와 돌직구팩폭...를 아끼지 않는다. 오히려 친하지 않거나 본인 마음에 들지 않은 사람들한테는 직설적인 말을 하는 것을 보기 힘들 정도이다.3. 앞에서 언급한 것처럼 전혀 그렇게 보이지는 않을 수도 있지만, 속정은 은근 많으시다. 잘 챙겨 주고 공감도 나름 잘해 주시려 노력한다. 다만 T형 공감이라... 저같은 극F들은 그 방식에 대해 오해할 수도...!!4. 본인이든 제자들이든, 즉 사람이 나약해지거나 나태해지는 것을 정말 싫어하신다. 그렇지만 타인에게보다는 본인에게 더 엄격하신 듯...5. 오지랖이 넓다?고 해야 하나. 되게 처음 보는 사람들하고도 스스럼없이 많고 깊은 대화를 잘 하시는 것 같다. 이분을 잘 모르거나 처음 보는 사람들은 이런 관심이 부담스러울 법 하다고 생각될 정도이다.6. 본인만의 주관, 고집은 있으시고 그것이 센 편이시지만 그것이 잘못된 걸 알면 바로 꺾어 버리신다.7. 자칫 잘못하면 꼰대처럼 들릴 수 있는 말도 많이 하시지만, 제자들은 꼰대 같다고 받아들이지 않는 듯하다. 오히려 인생 선배의 조언으로 받아들이는 듯...8. 칭찬하시는 썰?에 있는 사람들 특일단 기본적으로 성실함이 베이스로 깔려 있음9. 사회생활을 굉장히 잘 하시는 사람 같음10. 무슨 프로젝트 같은것 할 때 리더나 중요한 자리를 많이 도맡으셨다고 한다. 실제로도 사람들 잘 이끄실 듯?11. 충동적으로 어떤 일을 저지르실 뻔하신 적이 생각보다 굉장히 많다. 막상 겁이 나서 실행은 잘 못하셨다고.12. 학창 시절 때 지적 욕구가 굉장히 강하셨다 함13. 미래에 대한 꿈은 크신 것 같지만 현실주의도 어느 정도 있으신 것 같다."
3050,카트 유튜버 형독 ENFJ,스티브ENTP9w8spsx,httpswww.twitch.tvvideos6390253613시간 25분 부근..아 이것도 여기선 아는 사람 없으려나요 
3051,MBTI 아파트,얌비 intp,intp는 entp랑 창문 열어놓고 수다 떠네요
3052,이 사람 무슨 유형일까요 ㅋㅋㅋㅋㅋㅋ,lunaINFP,"남자에요! 공감능력 매우좋음 저보다 훨씬좋아요 위로를 잘하고 상대방 감정을 잘 캐치함 감정기복 정말심함 아무런 이유없이 우울해지고 기분 좋아지고 해요 자극에 예민 사람많은곳 특히 싫어하고, 큰 소리, 밝은 빛 같은거 엄청 싫어해요 예의없는 사람 극혐함 비판을 잘 받아들이지 못함 제가 절대 쓴소리 못해요 상처를 너무 잘 받아서 자기사람 아니면 신경조차 안씀, 대부분의 사람을 싫어함 ... 자기 사람이라고 생각들면 정말 헌신적 심하게 내향적 낭만적인 구석이 있음 음악, 영화를 정말 좋아해요 미래에 대한 상상 하기 좋아함 현실성없는얘기라도 여행을 하고는 싶어하는데 막상 가면 별로 못 즐김... 금전감각 무... 동물을 정말 좋아해요 누군가를 잘 돕는 편, 뒷생각 안하고 도와줘요 그래서 본인만 곤란해짐 구조한 고양이만 몇마리인지... 쉽게 우울해짐 자기 능력을 발휘하게 어느정도 자유를 줘야지 틀에 가두려고 하면 엄청나게 화를 냄 비판하기보다는 믿어줘야 열심히 해요 애정을 갈구함 아주 솔직함 거짓말 절대 안해요 좋아하는 게 맨날 바뀜 맨날 뭐 새로운거 보고서는 멋지다고 보여줘요.... 시니컬하고 비판적임 최대 관심사는 자기계발 언어에 재능있음이미 거의 저는 속으로 확신하고 있기는 한데 무슨 유형 같으신가욥!!"
3053,운동뚱 보시는분 있나요?인자강 민경장군 유형 뭐같나요?ㅋㅋㅋㅋ,스티브ENTP9w8spsx,물론 이걸 보고 유형을 찾으라는 뜻은 아닙니다..짤은 그냥 모르는 분들께 어떤 컨셉인지 보여주고자 해서 사실 저도 보진 않고..커뮤에 짤로 돌아다니는거랑 하이라이트만 스리슬쩍 보는 정도인데..갠적으론 isfp 9w8같아보입니다 
3054,"다정하고 선하고 조용하지만, 원칙주의자이고 공감 능력이 좀 부족한 사람?",사과든배든,"가정적이고 다정해요.평소엔 조용한 편이고, 소소한 행복을 추구하고절약을 잘해요.밖에서 보면 참 가정적이고 따뜻한 사람인데, 그와 반대로 원칙주의자이고공감능력이 부족해서 누군가 속상해하는 모습을 보이면 회피?해요.예를 들어, 아이가 키우던 병아리가 죽어서 운다? 하면 울지 말라고 위로는 해주는데 사실은 뭘 그깟걸로 울어라는 생각을 하고요, 말은 울지 마, 햄버거 사줄까?라고 합니다. 평소엔 조용하지만 말은 많아요조금씩 조근조근 많이 해요약간 덕후 기질이 있고요 어떤 유형이 이런 특징이 있을까요?제 추측으론 intj 같은데 s같기도 하고요 헷갈리네요"
3055,이사람 유형 감별 해주세요,Iiiliiiliiilllililii,조용조용하고 말수가 없는 편 TMI없어요 농담 안해요 말도 엄청 천천히 말해요 밖에 놀러다니는거 좋아해요 손재주가 좋은 편이예요정리정돈을 잘해요 얼굴이나 옷 예쁘게 입고 화장하는건 잘 못하고 귀찮아해요 화나면 주위 시선 신경 안쓰는 듯요 카톡답장도 한결같이 단답형이예요
3056,어떤 유형의 눈같나요 평가부탁드립니다,cardigans INFP 4w5,1
3057,이런 isfp의 에니어는 뭐일거같나요?,스티브ENTP9w8spsx,1.지는거 매우매우매우매우 싫어함 그냥 웬만한 t이상으로 싫어함2.위의 이유로 인해 엄청 노력파3.빠꾸없음. 상남자. 쉽게 감정적인 선택을 하곤하는데 그게 위의 노력에 의한 관록으로 커버가됨4.자기실수에 매우 쪽팔려함isfp 8w9..?일단 프로게이머 이제동입니다
3058,저 애니어그램 첨해봄요 봐주세요,lidia74,1유형이 제일 높다는건가요?  mbti했을때 3번다 다르게 나왔어요 enfp    esfj    esfp그때그때 감정에 충실하다보니 다르게 나오는것 같아요 제유형좀 분석해서 말씀해주세요감사드려요
3059,mbti아파트,로지INFJ,마지막 사진 entj  esfj  isfj  infj 순서 입니다 알파벳이 잘 안보이는것 같아서요!  요기서 질문!infj 옆집이지만 estj의 좌절감에 공감해주는 중이 말이 무슨 의미일까요?  와닿지가 않네요
3060,T랑 F랑 반반인 분들 스스로를 어떻게 정체화 하셨나요?,Isfpa,"저 사실 tf 반반 정도고 istp 나온적도 있어요.8기능 읽어보면 isfp 설명이 잘 맞아서 isfp라고 생각하고 있는데 그 tf판별법에서는 t쪽에 더 가까운 것 같아요. 감정적인 위로보다는 실질적인 조언을 듣고 싶고 하고 싶고 뭐 그런거? 그렇지만 주변에 있는 istp를 보면 이 istp는 남의 시선, 발언 등을 아예 의식하지 않더라구요.. 전 센 말 들으면 바로 쭈글쭈글해짐 그래서 istp랑 다른 종족 같긴 한데  휴 왜 이렇게 이도저도 아닌 느낌일까요? Mbti는 알면 알수록 어려운 것 같아요. Mbti가 스펙트럼이라는 거 알지만 그래도 중간에 걸치신 분들 말씀 듣고 싶습니다!!"
3061,미드 한니발/영드 셜록 캐릭터 유형 감별?,INTP 404,NBC 한니발한니발 렉터 ESTJ 페르소나 ENFJ윌 그레이엄 INFJ잭 크로포드 ESTJ?알라나 블룸 ?베델리아 뒤 모리에 INTJ? BBC 셜록셜록 홈즈INTPA존 왓슨 SFJ마이크로프트 홈즈 INTJ짐 모리어티 ENTP?그렉 레스트레이드 ?허드슨 부인 ESFJ 맞는 것 같나요?
3062,다시 검사해보니 ISFP 나왔네요,ㅇwㅇ,계속 바뀌다 3연속으로 ISFP 나왔으니 ISFP인걸까요?
3063,MBTI 검사할때마다 유형이 바뀝니다,ㅇwㅇ,예전에는 INFP INTP 왔다리갔다리했는데 최근에는 ISFP가 뜨더라구요... 생각난대로 써봤는데 전 무슨유형일까요?자기중심적이며 융통성이 부족하다복잡한걸 싫어하며 단순무식하다사람과 어울리는것보단 혼자있는시간을 더 좋아한다대인관계 폭이 좁다낯가림이 심하다생각이 많다말수가 적다예술적인것그림에 관심있다귀찮니즘이 심하다순두부 멘탈이다최대한 상대방에게 맞춰주려고 한다겉과속이 다르다전화보단 메세지소심하며 내성적이다다른사람에게 자신에 관한 이야기를 잘안한다예민하다열중하고있을때 누가 건들면 싫어한다싫어하는사람은 죽어도 싫어한다감정기복이 심하다거짓말을 못하며 얼굴에 다보인다변화를 싫어한다긴장을 많이한다공상하는것을 즐긴다자유분방하며 하기싫은건 죽어도 하기싫어한다
3064,내성적이고 차분하고 절제되있는 entp라면 에니어 뭐일확률이 높은거같나요?,스티브ENTP9w8spsx,일단 저는 절대아니고오히려 반대.. 5w4? 9w1?근데 또 저러면서도 엔팁답게 관종이고 튀는건 좋아함.
3065,아빠랑 대화가 잘 안 통하는데 ㅋㅋㅋㅋㅋㅋ,만두르 isfp,아빠의 유형은 뭔지 모르구요 아빠는 대화할 때 저한테 궁금한게 많아요친구들 만났다고 하면친구들 몇명이서 만났어?무슨 일 해?회사는 어디야?뭐 먹었어?친구네 어떻게 갔어?등등등 좀 질문이 많으세요이게 근데 이런 사소한걸 진짜로 궁금해하시는데 저는 되게 귀찮아서 건성건성 대답하거든요 묻는거에만 대답하고이건 무슨 부분의 차이일까요??
3066,웹툰추천) 꽃만 키우는데 너무 강함,09,주인공이 꽃덕후인데 아부지에게 떠밀려 운동을 겁나 열심히 함 엄청난 전투능력과 피지컬을 갖게 됐지만 그의 소원은 예쁜 꽃들을 실컷 볼 수 있는 꽃집을 운영하는 것 꿈을 가상현실에서라도 이루고자 가상현실 게임을 시작함 게임 특징 외형을 현실에 기반해 구동해 냄 주인공은 소원대로 꽃을 원없이 보기 위해 게임을 하지만 꽃만 보다보니 게임내 비밀 이벤트가 진행되고 그는 또 속수무책으로 강해지고 마는데... ? 킬링 타임용으로도 재밌고 주인공이 ISFP인 것 같은데 유형 특징이 나올 때마다 너무 재밌네요  극강 순둥이인데 강한 컨셉이라 재밌어용  이런 느낌인데 무언가 결정해야할 때 판단 기준도 넘나 Fi스러워요!무지막지한? 얼굴이지만 무지막지 귀여움요...! 
3067,개중에서 푸들이 느낌상 엔팁같지 않나요?ㅋㅋ,스티브ENTP9w8spsx,지기 싫어함잔꾀 많음인정욕구 강함관종좋아할 수록 장난 더침주인말 다 알아들으면서 좀 자기 하고싶은거만 하려하는 능청떠는 기질있음활동적이면서도 게으름
3068,INTJ에서 INFJ..,초록같은파랑INTJ,INTJ였는데 요즘 계속 다르게 INFJ로 나와요..왜 다른지..뭐가 다른지 이해가 안되요..혼란스러여요. 제 성격유형 판별 부탁드려요.
3069,효리네 민박 보는데,애리리enfp,이효리 엠비티아이가 뭘까요? 저는 ENFP라고 생각하는데
3070,하위유형 뭘까요 감별 부탁드려요,데미안 INTJ,"저는 제가 자성이라 믿어 의심치 않았는데 이런결과 나와서 급 알고싶어졌어요 그런데 또 예전모습 생각해보면 저 결과가 맞는것 같기도 하고요 이런저런 자료는 읽어봤는데 솔직히 둘다 저같아서 잘 모르겠어요 딱봐도 수치가 별 차이안나죠? 사본은 확실히 아닌거 같고 자성 or 성자 같네요 제 기본 베이스  평소에는 자본 같은데 특정한 상황 또는 인물 앞에서는 완벽하게 성본 됨 자본같은 이유  혼자있는거 아주 좋아해요 혼자있으면 너무너무 편안하고 자유로워요  타인에게 의존하는거 극혐하고 매우매우 독립적입니다  외로움 1도 안탐 그게 아예 뭔지 몰라요  이별로 인한 슬픔 이런거 몰름 물론 헤어지기 직전까진 고민하는데요, 결단해서 헤어지고나면 안 풀리는 문제를 해결한거니까 속 시원하고 뿌듯하고 기분 좋은데요  안슬픔....  일생에서 가장 추구하는건 제 자아실현이고 자아탐구에요 물론 그걸 통해서 다른 누군가에게 좋은 영향력이나 도움을 주고자 하는데 그걸 위해선 기본적으로 제가 먼저 성장해야 할거같네요  연애할때 너무 자주 만나자고 하면 기빨려요 만나는건 일주일에 한두번만요 저 혼자있을시간 매우필요함  상대방에게 끌려다니는 스타일은 아닙니다 아닌건 아니라고 생각하고 딱 잘라요 성본같은 이유  뭐 하나 꽂혀서 몰입하면 미친듯이 파고듦 그럼 밥도 안먹고 잠도 잘 안자요 예를들면 대학때 동아리활동 너무 재미있어서 3년동안 하루에 2시간씩 잤고요 일주일동안 집에 안갔어요폭식증 걸려서 갑자기 살쪘을때도 그때는 운동 너무싫은거예요 맨날 밥 안먹고 게임만해서 15kg 뺐음  사람 눈 똑바로 쳐다보는 버릇 있어요 다들 부담스러워하길래 좀 고친거.... 하지만 사람 빤히 쳐다보면서 심연을 읽는것 정말 좋아해요  좋아하는 사람 생기면 판깔고 잘꼬시고 플러팅 네 저 솔직히 좀 잘해요  좋아하는 사람한테는  호구됩니다 다 퍼주고  최선을 다해요 감정표현도 매우 솔직하고 직접적, 애교쩔음  연락 안 하는 사람보다 연락 자주 하는 사람이 훨씬 좋아요  혼자 있어도 잘사는데 당연히 저랑 통하는 누군가가 있으면 좋긴좋죠 마다하진 않아요  진짜 좋아하는 사람한테는 질투 쩔어요 인정하기 싫은데 질투 심한건 맞는듯 근데 기대치도 되게 높음  문제 생겼을때 대화 회피하는거 극혐하고 생각 잘 정리해서 직면하고 문제해결 하는거 좋아합니다 모르겠어여 껄껄 이걸로도 감별 할수 있을까요 참고로 에니어그램은 4w5 입니다."
3071,INTP와 잘 맞는 유형과 아닌 유형(재미로 정리),마이웨이 INTP,"경험을 토대로 정리해봤습니다. 데이터가 아니니 참고만 해주시고 가볍게만 봐주세요.잘 맞는 유형1. INTP비슷한 사람을 잘 못만나봤기 때문에 비슷하다고 생각이 들면 동질감이 들면서 흥분되는 일이 있었음. 전생에 무슨 뭐 둘이 있었나 할 정도로 잘 맞음. 다만... 서로 너무 비슷해서 싸우자 않음. 싸우면 피터지게 싸울 것임을 알기 때문에. 불편한 상황 만들지 않으려고 노력함.2.INFJ아주 잘맞음. P가 있어서 덜렁대는 면을 지적하지 않고 단점들을 잘 감싸주는 편. 즉흥적인 편이라 새로운 제안을 많이 하는데 좋아해줌.3. INTJ철두철미하고 엄격한 자기 관리가 부담스럽긴 하지만 대화는 일맥상통함. 비슷한 면이 생각보다 많고, 둘 다 불의에 딨어서 참지 않음. 조용히 할 말 다 하는 성격. 다만 INTJ가 뜬구름 잡는 이야기들을 캐치 잘해서 조용히 잘 정리해줌.2. ENTP,나쁘진 않은데 너무 적극적이거나, 거침 없을 때 좀 당황. 아무때나 음악만 나오면 춤춘다던지. 사람을 너무 좋아하긴 하는데 이 사람 저 사람 구분 없이 친해지고. 막 흥분해서 이야기 하다 보면 간혹 선을 넘음. 그러마 인정 되게 빠르고 본인도 그런 캐릭터인걸 잘 알아서 수긍함. 그런데 가끔 나서고 싶어하는데 나서면 안되는 상황일 때 마치 주연이고 싶은데 조연의 역할을 해야할 때 힘들어하는 것 같음. 굳이 서로 안맞지는 않으나 서로 너무 달라서 친해질 일 없음.3.ENTJ,ESTJ 역시 안맞지는 않으나 P관점에서는 너무 열심히 사는데 또 뭔가 일을 벌여서 하고 있어서 나랑 결이 안맞구나 함. 부지런하고 일에 올인하는 스타일. 부러우면서도... 자극을 받진 않음... 다수의 사람들에게 강의하듯 가르치는거 좋아함. 듣고 있으면 이야기 나누는 것보다 가르쳐주는 지식들이 더 많은 것 같음.4. ENFJ. 개인적으로 대단하다고 생각하고 부러워 하는 유형. 촉이 뛰어나고, 소름끼치도록 잘 맞춰서... 평생 친구하고 싶어짐. 신뢰도 급 상승...5. INFP. 안맞는 건 아닌데 좀 무서움. 하지만 그들이 이야기하는거 다 이해는 함. 본인만의 감정선이 뚜렷함. 글을 잘쓰고 말을 조리있게 잘 하는 INFP도 있지만 자신의 감정이나 속 이야기를 하는 것을 불편해 하는 예술가등이랑 안맞음. 문제를 마음 속에 담고 꿍해있는데 감정을 못숨기다 보니까 예민함이 짜증으로 드러나거나, 중요한 상황에 얼굴이 극도로 빨개짐. 정말 화가 났울 때는 속 이야기를 사람들 앞에서 안하려고 박차고 나가버리는 것을 본 적 있음. 슬쩍 당황... 하지만 타고난 천재적인 예술성은 좀 부러움...잘 안맞는 유형.ESTJ, ISTJ.매번 지적. 매번 화가 나 있음. 특히 공감 능력이 부족하고 눈치가 좀 없음. 매번 선생님에게 혼나는 느낌. 현실지적. 뼈 때리는 걸 넘어거 팩트 폭격 다다다다 맞음. 늘 열심히 살아야한다고, 부지런해야한다고 이야기함."
3072,이 짤 뭔가 순서가 바뀐거 같지 않나요,mocha intp,s남눈치봄 n주관뚜렷f이타적 t이기적이거 같은데 
3073,저는 MBTI를 대놓고 신뢰해요.,마이웨이 INTP,"사실 제가 상담 전공이라 이것저것 검사 안해본게 없거든요.그런데 다... 수치가 비슷비슷하게 나와서... 특히 다른 검사들은 수치가 같은 점수로 나와버리는 이례적인 경우가 있었어요.제가 또 자유로운 영혼이면서도 스스로에게 엄격한 면이 있어서 그런 것 같아요. 그래서 더 결과를 받아들이기 힘든데요.MBTI는 딱 이거다! 정말 이거다! 싶을 만큼... 설명도 정확하고 딱 맞더라구요. 그리고 사람들이 너는 대체 뭔지 잘 모르겠어.나라는 사람에 대해서 오래 만나도 가늠도 못하고 있을 때가 서운 했는데 MBTI 검사한거 읽어보라고 해서 자료 보내주면 의아해하기도 하고 결국엔 공감하더라구요. 특히 완벽주의에 대한 부분이나... 관찰력이 뛰어난거... 매번 새로운 아이디어, 그리고 기어이 꼬투리 잡는 부분도.근데 저의 케이스야 딱 들어맞아요.80근데 다른 사람의 경우는 그렇지도 않더라구요.누가봐도 ISTJ성격의 친구가 ESFP가 나왔어요.실제로 그렇지 않은데 그런 사람이 되고 싶다를 가정하며 검사한 것이거든요. 저는 INTP라서 예측 한대로 결과가 막상 다를 때 당황스러워요."
3074,자성일까요 성자일까요? 궁예부탁드림니닷,토비 Infp 4w3 479,"1.사회적본능이 뛰어난 사람과 이질감이 듦, 그러나 사회적본능 2차인 사람과는 나름 괜찮은듯2.성본을 보면 애증의 감정이 샘솟는다, 질투와 선망21.자본을 보면 편함, 감정의 동요가 일지 않음3.개성을 추구하는 편이나 세지는 않음, 대체로 은은한편이나 갑자기 확 세질때 있음4.갑작스런 고통은 싫지만 작정하고 고통을 감내하는 건 잘함ex.피어싱, 주사, 타투라든가5.자는거, 명상하는거, 먹는거 무지 좋아함!6.편한 사람에게만 끼 은근슬쩍 보여줌7.조용한 관종8.자본과 성본이 올라오는 시기가 다름, 둘다 갑작스럼, 기복이 엄청남9.자신의 정체성에 몰두해있는 시간 많음10.최대 관심사는 내가 좋아하는 것, 애인11.성적인 면에서 담백해지려고 함, 나름의 트라우마12.몸이 보내는 신호를 금방금방 알아챔13.내가 인정하는 사람이나 매력있는 사람에게 인정받고 싶어서 준내 노력함14.원체 경제관념 없는 편이지만 isfj엄마의 지속적인 영향으로 은행그나마도 오지의 다 쓰러져가는 은행수준이 되어가는중15.인생의 목표는 내가 하고 싶은 것을 하면서 나 자신을 찾는것16.어렷을때부터 현재까지의 장래희망은 내가 좋아하는 것의 테두리에서만 이루어져왔음17.자신의 색깔이 뚜렷하다는 말을 종종 들음, 근데 본인은 이해못함, 뿌듯한 반면 받아들일 수 없음18.항상 테스트하면 성본이 1차고 2차로 자본 나옴19.사람들하고 잘 못지냄, 코드가 너무 다르다고 느낀다, 스스로 돌연변이 같다고 느끼기도20.자본들하고 그럭저럭 잘지냄, 성본들과 결말이 좋지만은 고 싸우기도 함21.내가 생각하는 나와 남이 생각하는 내가 일치했으면 함3번 날개의 영향??22.혼자만의 시간 반드시 필요하나 절친한 한명과의 시간도 몹시 필요23.에니어그램 4,6,7 높고 1,2,8 낮음24.인생에서 열정맨 시기와 축 처지는 시기가 번갈아서 있음양극성 장애 영향인것 같아요25.자의식 과잉, 예민함저보고 자성이라고 하는 사람도 있고 성자라고 하는 사람도 있는데, 제 자신도 제 하위유형이 뭔지 헷갈려요..확답을 듣고싶은건 정체성의 불안함에서 나오는 걸지도라는 생각이 갑자기 스치네요??! but, 보류하고 싶은 감정또한 존재합니다!나란인간,,..복잡함으로 똘똘뭉친 인간,, 하하"
3075,유형 감별 부탁드려요! 너무 궁금해요😭,INFTJ 3w4 오롯,남자고 20대 중반입니다혼자 보내는 시간을 즐기며 자기만의 동굴이 있음인간관계가 좁고 깊으며 친한 사람에 대한 기준이 높음지인들 사이에서 본인 감정을 잘 숨기는 편손절을 굉장히 빠르고 쉽게 함부탁을 잘 거절함 그러나 예의는 지킴타인에게 무조건적으로 무해한 사람이길 바람즉흥적이진 않으나 빡빡하게 계획 세우는걸 싫어하는 타입청소를 굉장히 열심히 함생각이 깊고 시를 좋아함 감수성 굉장히 풍부 그러나 감정적이진 않음딱히 야망이 없으며 물 흐르듯 흘러가는 동양철학 굉장히 좋아함염세주의적인 면모를 보임옷을 굉장히 잘 입음본인 스타일이 확고함어떤 유형으로 보이시나요?!
3076,국내 연예인은 아닌데 배우 에디 레드메인 유형은 뭘까요?,INTP404,
3077,25살 남자입니다 저는 어떤사람이죠 ?,BBIBBO,저는 어떤사람이죠?
3078,이 노래는 어떤 유형과 잘 어울리는 거 같나요?,까페,좋은 가사네요
3079,에니어그램 하위유형 자성/성자 차이가 뭐죠?,데미안 INTJ,저 제가 당연히 자성일줄 알았는데 성자요? 대충격받음 뭘까요  근데 예전에도 두개 별차이 안 나긴 했습니다 그럼 자성과 성자의 차이는 뭘까요 어떻게 구분해야 할까요
3080,"그 시절 인소,, 귀여니 씨 유형은 뭘까요?",사과든배든,httpsyoutu.belejOI2JGME  귀여니 소설 엄청 읽었는데 추억..
3081,박찬호 MBTI 궁금합니다.,INFP 4w5 사자,박찬호 ENTP로 예상하는데 어떻게 보시나요?제가 LA에 있을때.....
3082,김창옥 교수 mbti뭐일까요?,모네,강연에 울림이 있어 궁굼해지네요.
3083,잠안와서 저도,쿨 ISFJ,수녀인줄.. 사진이랑 똑같.. 묶은머리긴한데.. ? .. 대체로 수수함.. 돌아가고싶다 이십대로.. 
3084,Isfp와 infp의 관계에 대한 개인적 생각,Isfpa,"일반화 죄송합니다. 재미로 읽는 것 아시죠?일단 날것인 상태의 isfp와 infp의 궁합은 좋지 않은 것 같아요. 날것이라 함은 각각 s와 n이 높은 상태에서 지식이 없고 공감능력이 없는 편협한 상태에서의 만남을 뜻하는데요, ixfp는 주기능이 같고 고작 s와 n 하나가 다르지만 그럼에도 불구하고 말이 단 한 마디도 안 통할 수 있습니다.제가 생각하기에 편협한 상태의 isfp는 냉소의 끝판왕일 수 있어요. 그리고 편협한 상태의 infp는 자기연민의 끝판왕일 수 있음. 둘이 만나면? 파국....Isfp  쟤는 꿈꾸는 거야 뭐야. 꿈은 밤에 꾸고 낮엔 현실을 살아야지. 오글거려. Infp  쟤는 깊은 생각이란 걸 하나? 눈 앞에 보이는 거 밖에 연상이 안되는건가? 단순해.둘 다 말을 막하는 편이 아니라 겉으로는 불화가 없지만 재빠르게 서로에게 서로가 맞지 않음을 깨닫고 멀어짐.그렇지만!!! 머리에 든 게 많아지고 적당히 사회화된다면, 서로 관심사가 겹친다면 서로에게 서로가 좋은 친구가 될 수 있어요. Infp는 세상을 살아갈수록 현실적인 방향으로도 생각이 깊어지고 Isfp는 세상을 살아갈수록 문제의 이면적으로도 생각이 깊어지기 때문에 둘이 맞물리는 지점이 생김. 예를 들어서 이상적인 사회 구현같은거요. Infp이상주의자로 다들 이미 알고있지만 isfp가 이상주의적인거 모르시는 분들 많은데 isfp도 한 이상 합니다. 동시에 너무 현실적일 뿐. 쨌든 성숙해질수록 둘 다 사회에 대한 이상향이 생기고 그 이상향에 대한 신념이 투철해지는데 그 구체적 생각이 달라지는 것.이건 나이 상관x인듯해요. 나이먹어도 자기연민에 갇혀 사는 infp 깊은 생각없이 사는 isfp 많은 듯. 그리고 그 둘은 영원히 서로 못 어울림 물론 기본 베이스는 그대로 n과 s이기 때문에 그 성질은 그대로 있지만 점점 남의 말을 수용할 수 있는 관대함도 생기고 포용력도 생기면서 서로의 생각에 점점 더 흥미가 생기고 말이 잘 통하게 되는 듯 합니다. 둘 다 가까운 사람 엄청 챙기는 타입이라 서로가 서로에게 그 바운더리에 든 가까운 사람이라면 많이 배울 수 있는 것 같아요. N과 S의 차이를 극복하게되면 찐친되는 느낌. 극복이라는 게 별 게 아니고 서로의 말에 대해 ?? 하지 않고 오오.. 하는 이런겁니다 알아들으셨겠죠?공감짤로 마무리. 우리 사이좋게 지내요. ixfp 파이팅!!"
3085,윌유메리미 - 윌 메리 유형 !,Arsen ENTJ 8w9 sxso,방금 라이브에서 들었는데 윌님 infj메리님 estj 이시네요  두 분 참 잘어울리시는거 같아요
3086,그림체로 유형 감별 ㄱㄱ,ssogarimania,찐빵말고 왜 거의 t같이 생겼지
